Model,Accuracy,F1-Score,AUC
SGDStacking_ExtraTrees_GradientBoosting_Fusion,0.901892857,0.90186134,0.966533263
SGDStacking_ExtraTrees_ComplementNB_Fusion,0.901892857,0.90186134,0.966539637
SGDStacking_ExtraTrees_GaussianNB_Fusion,0.901892857,0.90186134,0.966539468
SGDStacking_GradientBoosting_HistGBDT_Fusion,0.901892857,0.90186134,0.966542112
SGDStacking_GradientBoosting_BernoulliNB_Fusion,0.901892857,0.90186134,0.966531947
SGDStacking_HistGBDT_Bagging_Fusion,0.901892857,0.90186134,0.966536419
SGDStacking_Bagging_LDA_Fusion,0.901892857,0.90186134,0.966534027
SGDStacking_MultinomialNB_LightGBM_Fusion,0.901892857,0.90186134,0.96653396
SGDStacking_LDA_BernoulliNB_Fusion,0.901892857,0.90186134,0.96653148
SGDStacking_LDA_LightGBM_Fusion,0.901892857,0.90186134,0.966533637
SGDStacking_LDA_XGBoost_Fusion,0.901892857,0.90186134,0.966537178
SGDStacking_BernoulliNB_ComplementNB_Fusion,0.901892857,0.90186134,0.966537239
SGDStacking_ComplementNB_NearestCentroid_Fusion,0.901892857,0.90186134,0.966537188
SGDStacking_NearestCentroid_GaussianNB_Fusion,0.901892857,0.90186134,0.966536404
SGDStacking_AdaBoost_GaussianNB_Fusion,0.901892857,0.90186134,0.966536466
SGDStacking_AdaBoost_LightGBM_Fusion,0.901892857,0.90186134,0.966534216
SGDStacking_ExtraTrees_HistGBDT_Fusion,0.901857143,0.901825875,0.966533309
SGDStacking_ExtraTrees_Bagging_Fusion,0.901857143,0.901825875,0.966531993
SGDStacking_ExtraTrees_MultinomialNB_Fusion,0.901857143,0.901825875,0.966533115
SGDStacking_ExtraTrees_LDA_Fusion,0.901857143,0.901825875,0.966534596
SGDStacking_ExtraTrees_BernoulliNB_Fusion,0.901857143,0.901825875,0.966531019
SGDStacking_ExtraTrees_NearestCentroid_Fusion,0.901857143,0.901825875,0.966533965
SGDStacking_ExtraTrees_AdaBoost_Fusion,0.901857143,0.901825875,0.966535682
SGDStacking_ExtraTrees_LightGBM_Fusion,0.901857143,0.901825875,0.966533099
SGDStacking_ExtraTrees_XGBoost_Fusion,0.901857143,0.901825875,0.966533888
SGDStacking_ExtraTrees_CatBoost_Fusion,0.901857143,0.901825875,0.966531921
SGDStacking_GradientBoosting_Bagging_Fusion,0.901857143,0.901825875,0.966532136
SGDStacking_GradientBoosting_MultinomialNB_Fusion,0.901857143,0.901825875,0.966533555
SGDStacking_GradientBoosting_LDA_Fusion,0.901857143,0.901825875,0.966534073
SGDStacking_GradientBoosting_ComplementNB_Fusion,0.901857143,0.901825875,0.966532843
SGDStacking_GradientBoosting_NearestCentroid_Fusion,0.901857143,0.901825875,0.966533791
SGDStacking_GradientBoosting_AdaBoost_Fusion,0.901857143,0.901825875,0.966533643
SGDStacking_GradientBoosting_GaussianNB_Fusion,0.901857143,0.901825875,0.966534355
SGDStacking_GradientBoosting_XGBoost_Fusion,0.901857143,0.901825875,0.966532034
SGDStacking_GradientBoosting_CatBoost_Fusion,0.901857143,0.901825875,0.966533955
SGDStacking_HistGBDT_MultinomialNB_Fusion,0.901857143,0.901825875,0.966533924
SGDStacking_HistGBDT_LDA_Fusion,0.901857143,0.901825875,0.966533863
SGDStacking_HistGBDT_BernoulliNB_Fusion,0.901857143,0.901825875,0.966533699
SGDStacking_HistGBDT_ComplementNB_Fusion,0.901857143,0.901825875,0.966533842
SGDStacking_HistGBDT_AdaBoost_Fusion,0.901857143,0.901825875,0.966533847
SGDStacking_HistGBDT_GaussianNB_Fusion,0.901857143,0.901825875,0.966533192
SGDStacking_HistGBDT_LightGBM_Fusion,0.901857143,0.901825875,0.966533135
SGDStacking_HistGBDT_XGBoost_Fusion,0.901857143,0.901825875,0.966530891
SGDStacking_HistGBDT_CatBoost_Fusion,0.901857143,0.901825875,0.966533545
SGDStacking_Bagging_MultinomialNB_Fusion,0.901857143,0.901825875,0.966532746
SGDStacking_Bagging_BernoulliNB_Fusion,0.901857143,0.901825875,0.96653207
SGDStacking_Bagging_ComplementNB_Fusion,0.901857143,0.901825875,0.966533238
SGDStacking_Bagging_NearestCentroid_Fusion,0.901857143,0.901825875,0.966533806
SGDStacking_Bagging_AdaBoost_Fusion,0.901857143,0.901825875,0.966533069
SGDStacking_Bagging_GaussianNB_Fusion,0.901857143,0.901825875,0.966533965
SGDStacking_Bagging_LightGBM_Fusion,0.901857143,0.901825875,0.966533146
SGDStacking_Bagging_XGBoost_Fusion,0.901857143,0.901825875,0.966533105
SGDStacking_MultinomialNB_BernoulliNB_Fusion,0.901857143,0.901825875,0.966531998
SGDStacking_MultinomialNB_ComplementNB_Fusion,0.901857143,0.901825875,0.966533023
SGDStacking_MultinomialNB_NearestCentroid_Fusion,0.901857143,0.901825875,0.966533494
SGDStacking_MultinomialNB_AdaBoost_Fusion,0.901857143,0.901825875,0.966533714
SGDStacking_MultinomialNB_GaussianNB_Fusion,0.901857143,0.901825875,0.96653354
SGDStacking_MultinomialNB_XGBoost_Fusion,0.901857143,0.901825875,0.966531588
SGDStacking_MultinomialNB_CatBoost_Fusion,0.901857143,0.901825875,0.966541686
SGDStacking_LDA_ComplementNB_Fusion,0.901857143,0.901825875,0.966534708
SGDStacking_LDA_NearestCentroid_Fusion,0.901857143,0.901825875,0.966533458
SGDStacking_LDA_AdaBoost_Fusion,0.901857143,0.901825875,0.966532059
SGDStacking_LDA_GaussianNB_Fusion,0.901857143,0.901825875,0.966533735
SGDStacking_LDA_CatBoost_Fusion,0.901857143,0.901825875,0.966533012
SGDStacking_BernoulliNB_NearestCentroid_Fusion,0.901857143,0.901825875,0.966532423
SGDStacking_BernoulliNB_AdaBoost_Fusion,0.901857143,0.901825875,0.966534006
SGDStacking_BernoulliNB_LightGBM_Fusion,0.901857143,0.901825875,0.96653314
SGDStacking_BernoulliNB_XGBoost_Fusion,0.901857143,0.901825875,0.966531993
SGDStacking_BernoulliNB_CatBoost_Fusion,0.901857143,0.901825875,0.966533253
SGDStacking_ComplementNB_AdaBoost_Fusion,0.901857143,0.901825875,0.966533612
SGDStacking_ComplementNB_GaussianNB_Fusion,0.901857143,0.901825875,0.96653355
SGDStacking_ComplementNB_LightGBM_Fusion,0.901857143,0.901825875,0.966533043
SGDStacking_ComplementNB_XGBoost_Fusion,0.901857143,0.901825875,0.966532408
SGDStacking_ComplementNB_CatBoost_Fusion,0.901857143,0.901825875,0.966531778
SGDStacking_NearestCentroid_LightGBM_Fusion,0.901857143,0.901825875,0.966533514
SGDStacking_NearestCentroid_XGBoost_Fusion,0.901857143,0.901825875,0.966533873
SGDStacking_NearestCentroid_CatBoost_Fusion,0.901857143,0.901825875,0.966533678
SGDStacking_AdaBoost_XGBoost_Fusion,0.901857143,0.901825875,0.96653395
SGDStacking_AdaBoost_CatBoost_Fusion,0.901857143,0.901825875,0.966533146
SGDStacking_GaussianNB_LightGBM_Fusion,0.901857143,0.901825875,0.966532459
SGDStacking_GaussianNB_XGBoost_Fusion,0.901857143,0.901825875,0.966533064
SGDStacking_LightGBM_XGBoost_Fusion,0.901857143,0.901825875,0.966533417
SGDStacking_LightGBM_CatBoost_Fusion,0.901857143,0.901825875,0.966533427
SGDStacking_XGBoost_CatBoost_Fusion,0.901857143,0.901825875,0.966533735
SGDStacking_GradientBoosting_LightGBM_Fusion,0.901821429,0.90179041,0.966536676
SGDStacking_HistGBDT_NearestCentroid_Fusion,0.901821429,0.90179041,0.966534011
SGDStacking_Bagging_CatBoost_Fusion,0.901821429,0.90179041,0.966533627
SGDStacking_MultinomialNB_LDA_Fusion,0.901821429,0.90179041,0.966531347
SGDStacking_BernoulliNB_GaussianNB_Fusion,0.901821429,0.90179041,0.966533376
SGDStacking_GaussianNB_CatBoost_Fusion,0.901821429,0.90179041,0.966534145
SGDStacking_NearestCentroid_AdaBoost_Fusion,0.901821429,0.901789889,0.966532218
SGDClassifier,0.900892857,0.900924713,0.964142868
SGDStacking_GradientBoosting_Bagging_LR_cuml,0.898535714,0.898541067,0.964170382
SGDStacking_GradientBoosting_XGBoost_LR_cuml,0.898535714,0.898541067,0.964170177
SGDStacking_LDA_BernoulliNB_LR_cuml,0.898535714,0.898541067,0.964169844
SGDStacking_LightGBM_XGBoost_LR_cuml,0.898535714,0.898540607,0.964171468
SGDStacking_MultinomialNB_XGBoost_LR_cuml,0.8985,0.898505585,0.964168368
SGDStacking_ComplementNB_XGBoost_LR_cuml,0.8985,0.898505585,0.964170561
SGDStacking_ExtraTrees_MultinomialNB_LR_cuml,0.8985,0.898505125,0.964170961
SGDStacking_ExtraTrees_BernoulliNB_LR_cuml,0.8985,0.898505125,0.9641701
SGDStacking_GradientBoosting_GaussianNB_LR_cuml,0.8985,0.898505125,0.96417134
SGDStacking_Bagging_MultinomialNB_LR_cuml,0.8985,0.898505125,0.964170049
SGDStacking_Bagging_BernoulliNB_LR_cuml,0.8985,0.898505125,0.964169859
SGDStacking_BernoulliNB_NearestCentroid_LR_cuml,0.8985,0.898505125,0.964170264
SGDStacking_BernoulliNB_CatBoost_LR_cuml,0.8985,0.898505125,0.964170704
SGDStacking_ComplementNB_GaussianNB_LR_cuml,0.8985,0.898505125,0.964171601
SGDStacking_ComplementNB_CatBoost_LR_cuml,0.8985,0.898505125,0.96416929
SGDStacking_LightGBM_CatBoost_LR_cuml,0.8985,0.898505125,0.964171227
SGDStacking_ExtraTrees_AdaBoost_LR_cuml,0.8985,0.898504664,0.964171237
SGDStacking_MultinomialNB_BernoulliNB_LR_cuml,0.8985,0.898504664,0.96416886
SGDStacking_HistGBDT_AdaBoost_LR_cuml,0.8985,0.898504203,0.964171698
SGDStacking_LDA_LightGBM_LR_cuml,0.898464286,0.898469643,0.964170484
SGDStacking_BernoulliNB_GaussianNB_LR_cuml,0.898464286,0.898469643,0.96417095
SGDStacking_ExtraTrees_GradientBoosting_LR_cuml,0.898464286,0.898469182,0.964171043
SGDStacking_ExtraTrees_LDA_LR_cuml,0.898464286,0.898469182,0.964172631
SGDStacking_GradientBoosting_CatBoost_LR_cuml,0.898464286,0.898469182,0.964171878
SGDStacking_MultinomialNB_LightGBM_LR_cuml,0.898464286,0.898469182,0.964172421
SGDStacking_LDA_ComplementNB_LR_cuml,0.898464286,0.898469182,0.964171458
SGDStacking_LDA_NearestCentroid_LR_cuml,0.898464286,0.898469182,0.964171253
SGDStacking_NearestCentroid_AdaBoost_LR_cuml,0.898464286,0.898469182,0.964171268
SGDStacking_NearestCentroid_XGBoost_LR_cuml,0.898464286,0.898469182,0.964171698
SGDStacking_ExtraTrees_HistGBDT_LR_cuml,0.898464286,0.898468721,0.96417154
SGDStacking_ExtraTrees_NearestCentroid_LR_cuml,0.898464286,0.898468721,0.964171657
SGDStacking_ExtraTrees_XGBoost_LR_cuml,0.898464286,0.898468721,0.964171765
SGDStacking_GradientBoosting_MultinomialNB_LR_cuml,0.898464286,0.898468721,0.964171847
SGDStacking_GradientBoosting_LDA_LR_cuml,0.898464286,0.898468721,0.964171955
SGDStacking_GradientBoosting_NearestCentroid_LR_cuml,0.898464286,0.898468721,0.964171647
SGDStacking_GradientBoosting_AdaBoost_LR_cuml,0.898464286,0.898468721,0.964171294
SGDStacking_GradientBoosting_LightGBM_LR_cuml,0.898464286,0.898468721,0.964173702
SGDStacking_HistGBDT_MultinomialNB_LR_cuml,0.898464286,0.898468721,0.964171796
SGDStacking_HistGBDT_LDA_LR_cuml,0.898464286,0.898468721,0.964171847
SGDStacking_HistGBDT_CatBoost_LR_cuml,0.898464286,0.898468721,0.964171893
SGDStacking_Bagging_LDA_LR_cuml,0.898464286,0.898468721,0.964170955
SGDStacking_Bagging_ComplementNB_LR_cuml,0.898464286,0.898468721,0.964171201
SGDStacking_Bagging_NearestCentroid_LR_cuml,0.898464286,0.898468721,0.964171724
SGDStacking_Bagging_AdaBoost_LR_cuml,0.898464286,0.898468721,0.964171119
SGDStacking_Bagging_GaussianNB_LR_cuml,0.898464286,0.898468721,0.964171837
SGDStacking_Bagging_LightGBM_LR_cuml,0.898464286,0.898468721,0.964171007
SGDStacking_Bagging_XGBoost_LR_cuml,0.898464286,0.898468721,0.964171263
SGDStacking_MultinomialNB_NearestCentroid_LR_cuml,0.898464286,0.898468721,0.964171396
SGDStacking_MultinomialNB_AdaBoost_LR_cuml,0.898464286,0.898468721,0.964171673
SGDStacking_MultinomialNB_GaussianNB_LR_cuml,0.898464286,0.898468721,0.964171965
SGDStacking_LDA_AdaBoost_LR_cuml,0.898464286,0.898468721,0.964169188
SGDStacking_LDA_CatBoost_LR_cuml,0.898464286,0.898468721,0.964171032
SGDStacking_BernoulliNB_AdaBoost_LR_cuml,0.898464286,0.898468721,0.964171914
SGDStacking_BernoulliNB_LightGBM_LR_cuml,0.898464286,0.898468721,0.964171114
SGDStacking_NearestCentroid_CatBoost_LR_cuml,0.898464286,0.898468721,0.964171714
SGDStacking_AdaBoost_LightGBM_LR_cuml,0.898464286,0.898468721,0.964171309
SGDStacking_AdaBoost_XGBoost_LR_cuml,0.898464286,0.898468721,0.964171785
SGDStacking_AdaBoost_CatBoost_LR_cuml,0.898464286,0.898468721,0.964171037
SGDStacking_XGBoost_CatBoost_LR_cuml,0.898464286,0.898468721,0.964171693
SGDStacking_ExtraTrees_Bagging_LR_cuml,0.898428571,0.8984337,0.964169137
SGDStacking_ExtraTrees_CatBoost_LR_cuml,0.898428571,0.8984337,0.964169193
SGDStacking_GradientBoosting_BernoulliNB_LR_cuml,0.898428571,0.8984337,0.964168645
SGDStacking_HistGBDT_NearestCentroid_LR_cuml,0.898428571,0.8984337,0.964171365
SGDStacking_HistGBDT_GaussianNB_LR_cuml,0.898428571,0.8984337,0.964172436
SGDStacking_GaussianNB_CatBoost_LR_cuml,0.898428571,0.8984337,0.964171299
SGDStacking_ExtraTrees_LightGBM_LR_cuml,0.898428571,0.898433239,0.964171647
SGDStacking_HistGBDT_BernoulliNB_LR_cuml,0.898428571,0.898433239,0.964172119
SGDStacking_HistGBDT_ComplementNB_LR_cuml,0.898428571,0.898433239,0.964171857
SGDStacking_HistGBDT_LightGBM_LR_cuml,0.898428571,0.898433239,0.964171688
SGDStacking_LDA_GaussianNB_LR_cuml,0.898428571,0.898433239,0.964171873
SGDStacking_LDA_XGBoost_LR_cuml,0.898428571,0.898433239,0.964173215
SGDStacking_BernoulliNB_ComplementNB_LR_cuml,0.898428571,0.898433239,0.964173159
SGDStacking_BernoulliNB_XGBoost_LR_cuml,0.898428571,0.898433239,0.964169321
SGDStacking_ComplementNB_NearestCentroid_LR_cuml,0.898428571,0.898433239,0.964174081
SGDStacking_ComplementNB_AdaBoost_LR_cuml,0.898428571,0.898433239,0.964171965
SGDStacking_ComplementNB_LightGBM_LR_cuml,0.898428571,0.898433239,0.96417154
SGDStacking_NearestCentroid_GaussianNB_LR_cuml,0.898428571,0.898433239,0.964172493
SGDStacking_NearestCentroid_LightGBM_LR_cuml,0.898428571,0.898433239,0.964171775
SGDStacking_GaussianNB_LightGBM_LR_cuml,0.898428571,0.898433239,0.964169864
SGDStacking_GaussianNB_XGBoost_LR_cuml,0.898428571,0.898433239,0.964171417
SGDStacking_GradientBoosting_HistGBDT_LR_cuml,0.898428571,0.898432777,0.964181285
SGDStacking_ExtraTrees_GaussianNB_LR_cuml,0.898428571,0.898432314,0.96417842
SGDStacking_HistGBDT_XGBoost_LR_cuml,0.898392857,0.898397757,0.964168506
SGDStacking_MultinomialNB_LDA_LR_cuml,0.898392857,0.898397757,0.964169142
SGDStacking_GradientBoosting_ComplementNB_LR_cuml,0.898392857,0.898397295,0.964170156
SGDStacking_HistGBDT_Bagging_LR_cuml,0.898392857,0.898397295,0.964172359
SGDStacking_AdaBoost_GaussianNB_LR_cuml,0.898392857,0.898397295,0.964172298
SGDStacking_ExtraTrees_ComplementNB_LR_cuml,0.898392857,0.898396833,0.964178533
SGDStacking_MultinomialNB_CatBoost_LR_cuml,0.898392857,0.898396833,0.964180588
SGDStacking_Bagging_CatBoost_LR_cuml,0.898357143,0.898361814,0.964170105
SGDStacking_MultinomialNB_ComplementNB_LR_cuml,0.898357143,0.898361814,0.964170336
SGDStacking_ExtraTrees_GradientBoosting_RF_cuml,0.865071429,0.864735364,0.943150274
SGDStacking_ExtraTrees_HistGBDT_RF_cuml,0.865071429,0.864735364,0.943150274
SGDStacking_ExtraTrees_Bagging_RF_cuml,0.865071429,0.864735364,0.943150274
SGDStacking_ExtraTrees_MultinomialNB_RF_cuml,0.865071429,0.864735364,0.943150274
SGDStacking_ExtraTrees_LDA_RF_cuml,0.865071429,0.864735364,0.943150274
SGDStacking_ExtraTrees_BernoulliNB_RF_cuml,0.865071429,0.864735364,0.943150274
SGDStacking_ExtraTrees_ComplementNB_RF_cuml,0.865071429,0.864735364,0.943150274
SGDStacking_ExtraTrees_NearestCentroid_RF_cuml,0.865071429,0.864735364,0.943150274
SGDStacking_ExtraTrees_AdaBoost_RF_cuml,0.865071429,0.864735364,0.943150274
SGDStacking_ExtraTrees_GaussianNB_RF_cuml,0.865071429,0.864735364,0.943150274
SGDStacking_ExtraTrees_LightGBM_RF_cuml,0.865071429,0.864735364,0.943150274
SGDStacking_ExtraTrees_XGBoost_RF_cuml,0.865071429,0.864735364,0.943150274
SGDStacking_ExtraTrees_CatBoost_RF_cuml,0.865071429,0.864735364,0.943150274
SGDStacking_GradientBoosting_HistGBDT_RF_cuml,0.865071429,0.864735364,0.943150274
SGDStacking_GradientBoosting_Bagging_RF_cuml,0.865071429,0.864735364,0.943150274
SGDStacking_GradientBoosting_MultinomialNB_RF_cuml,0.865071429,0.864735364,0.943150274
SGDStacking_GradientBoosting_LDA_RF_cuml,0.865071429,0.864735364,0.943150274
SGDStacking_GradientBoosting_BernoulliNB_RF_cuml,0.865071429,0.864735364,0.943150274
SGDStacking_GradientBoosting_ComplementNB_RF_cuml,0.865071429,0.864735364,0.943150274
SGDStacking_GradientBoosting_NearestCentroid_RF_cuml,0.865071429,0.864735364,0.943150274
SGDStacking_GradientBoosting_AdaBoost_RF_cuml,0.865071429,0.864735364,0.943150274
SGDStacking_GradientBoosting_GaussianNB_RF_cuml,0.865071429,0.864735364,0.943150274
SGDStacking_GradientBoosting_LightGBM_RF_cuml,0.865071429,0.864735364,0.943150274
SGDStacking_GradientBoosting_XGBoost_RF_cuml,0.865071429,0.864735364,0.943150274
SGDStacking_GradientBoosting_CatBoost_RF_cuml,0.865071429,0.864735364,0.943150274
SGDStacking_HistGBDT_Bagging_RF_cuml,0.865071429,0.864735364,0.943150274
SGDStacking_HistGBDT_MultinomialNB_RF_cuml,0.865071429,0.864735364,0.943150274
SGDStacking_HistGBDT_LDA_RF_cuml,0.865071429,0.864735364,0.943150274
SGDStacking_HistGBDT_BernoulliNB_RF_cuml,0.865071429,0.864735364,0.943150274
SGDStacking_HistGBDT_ComplementNB_RF_cuml,0.865071429,0.864735364,0.943150274
SGDStacking_HistGBDT_NearestCentroid_RF_cuml,0.865071429,0.864735364,0.943150274
SGDStacking_HistGBDT_AdaBoost_RF_cuml,0.865071429,0.864735364,0.943150274
SGDStacking_HistGBDT_GaussianNB_RF_cuml,0.865071429,0.864735364,0.943150274
SGDStacking_HistGBDT_LightGBM_RF_cuml,0.865071429,0.864735364,0.943150274
