Ablation,Stacker,Accuracy,F1-Score,AUC
None,RF_Stacker,0.9218928571428572,0.9219224045360256,0.9749896467239173
None,LR_Stacker,0.92175,0.9217548353639686,0.9769795625518044
SGDClassifier,RF_Stacker,0.9216071428571428,0.9216326435796469,0.9750562400039952
SGDClassifier,LR_Stacker,0.92125,0.9212552208271428,0.9767502992701236
ExtraTrees,RF_Stacker,0.916,0.9160368058968059,0.9731705575817554
ExtraTrees,LR_Stacker,0.9163571428571429,0.9163702179699313,0.9744666275340523
GradientBoosting,RF_Stacker,0.9213571428571429,0.9213855705049571,0.974838030771306
GradientBoosting,LR_Stacker,0.9203928571428571,0.920395608550265,0.9764807034398167
HistGBDT,RF_Stacker,0.9216428571428571,0.9216669778007872,0.9748246839357912
HistGBDT,LR_Stacker,0.9218571428571428,0.9218600220940342,0.9769847373325609
Bagging,RF_Stacker,0.9207857142857143,0.9208128491042625,0.9746627337923036
Bagging,LR_Stacker,0.9213571428571429,0.9213582355735404,0.9769221173618655
MultinomialNB,RF_Stacker,0.9207142857142857,0.9207414450006596,0.9747594586423094
MultinomialNB,LR_Stacker,0.92175,0.9217548353639686,0.9769801671301503
LDA,RF_Stacker,0.921,0.9210273621088537,0.9746672425121705
LDA,LR_Stacker,0.9217142857142857,0.921714649107876,0.9769266875642759
BernoulliNB,RF_Stacker,0.9215,0.9215259889165768,0.97472393454095
BernoulliNB,LR_Stacker,0.9219642857142857,0.9219655500025074,0.9768094506006488
ComplementNB,RF_Stacker,0.9209285714285714,0.9209580422334986,0.9747645309521594
ComplementNB,LR_Stacker,0.922,0.922004291620896,0.9769851574632755
NearestCentroid,RF_Stacker,0.9204285714285714,0.9204558285862475,0.9744936260560273
NearestCentroid,LR_Stacker,0.9216071428571428,0.9216130434948796,0.9766891190156587
AdaBoost,RF_Stacker,0.9208214285714286,0.9208462648559026,0.9745440391800376
AdaBoost,LR_Stacker,0.9215714285714286,0.9215768043448731,0.9769921920909769
GaussianNB,RF_Stacker,0.922,0.9220273118371528,0.9748607818742248
GaussianNB,LR_Stacker,0.9218214285714286,0.921825906720686,0.9769290905070229
LightGBM,RF_Stacker,0.9218214285714286,0.9218535832740788,0.9749049596436012
LightGBM,LR_Stacker,0.9215714285714286,0.9215753886285574,0.9769939340963799
XGBoost,RF_Stacker,0.9200714285714285,0.920097582922103,0.9745122860080214
XGBoost,LR_Stacker,0.9203928571428571,0.920399205139221,0.9766161187421791
CatBoost,RF_Stacker,0.9209285714285714,0.9209559582771258,0.9747388773608268
CatBoost,LR_Stacker,0.9222142857142858,0.9222192676010235,0.9769294235374677
