,Accuracy,F1-Score,AUC,Time
LogisticRegression,0.9097857142857143,0.9097998166490379,0.9698816539425212,1.436849594116211
RandomForest,0.9011785714285714,0.9012339765074991,0.9650829234791695,7.106943368911743
ExtraTrees,0.9162142857142858,0.9162578753530907,0.973450856498201,9.212707042694092
GradientBoosting,0.86975,0.8697562812455433,0.9438774071690317,1.897881269454956
HistGBDT,0.922,0.9220281952692218,0.9772773891167321,3.373473644256592
AdaBoost,0.82875,0.8286783165013482,0.910609000426489,12.494351387023926
Bagging,0.8756071428571428,0.8757022512205686,0.9459817548194924,16.51106882095337
MultinomialNB,0.8442857142857143,0.8444229275185327,0.9199501431905385,1.2962682247161865
LDA,0.9149642857142857,0.9149912894715171,0.9733297794373694,1.151005744934082
BernoulliNB,0.8785357142857143,0.8786463060784867,0.9492117607436941,2.2688052654266357
ComplementNB,0.8406428571428571,0.8407934014986793,0.9199521567438427,1.4110329151153564
GaussianNB,0.8431071428571428,0.8432478692044474,0.9011980570430018,2.024686813354492
NearestCentroid,0.8671428571428571,0.8672784912517115,0.9403059246356921,2.6155588626861572
LightGBM,0.9203571428571429,0.9203859319827676,0.9774901648296271,1.2984609603881836
XGBoost,0.9203214285714286,0.9203503802962093,0.9770663144208777,3.418459892272949
CatBoost,0.9172142857142858,0.9172327941578868,0.9748127178957356,1.4487826824188232
RF_Stacker,0.9394285714285714,0.9394546811933937,0.9842969945831469,
LR_Stacker,0.9406785714285715,0.9406902321687646,0.9853544840866295,
Weighted,0.9407142857142857,0.940728754071422,0.9854259780377899,
