iter	Passed	Remaining
0	74	7401
1	144	7095
2	226	7315
3	309	7436
4	381	7254
5	438	6875
6	506	6723
7	567	6525
8	640	6480
9	709	6385
10	782	6331
11	851	6247
12	924	6188
13	995	6116
14	1069	6058
15	1165	6120
16	1245	6082
17	1305	5945
18	1369	5839
19	1430	5723
20	1488	5599
21	1558	5524
22	1617	5415
23	1684	5333
24	1755	5266
25	1824	5193
26	1885	5098
27	1953	5022
28	2027	4965
29	2112	4928
30	2184	4862
31	2257	4798
32	2339	4749
33	2409	4676
34	2481	4608
35	2552	4537
36	2624	4468
37	2702	4409
38	2772	4336
39	2843	4264
40	2918	4199
41	3008	4154
42	3079	4081
43	3149	4008
44	3222	3939
45	3295	3868
46	3365	3795
47	3437	3723
48	3513	3656
49	3583	3583
50	3653	3510
51	3716	3430
52	3782	3354
53	3861	3289
54	3931	3216
55	3999	3142
56	4063	3065
57	4127	2988
58	4192	2913
59	4256	2837
60	4315	2758
61	4382	2686
62	4444	2610
63	4497	2530
64	4560	2455
65	4616	2377
66	4674	2302
67	4740	2230
68	4805	2159
69	4875	2089
70	4934	2015
71	5003	1945
72	5072	1876
73	5145	1807
74	5214	1738
75	5285	1669
76	5360	1601
77	5435	1533
78	5514	1465
79	5583	1395
80	5660	1327
81	5745	1261
82	5814	1190
83	5881	1120
84	5943	1048
85	6011	978
86	6080	908
87	6148	838
88	6211	767
89	6275	697
90	6342	627
91	6405	557
92	6478	487
93	6551	418
94	6626	348
95	6705	279
96	6786	209
97	6848	139
98	6919	69
99	6983	0
